Rank,Username,Owner,Followers (millions),Profession/Activity,Country/Continent
1,@instagram,Instagram,515,Social media platform, United States
2,@cristiano,Cristiano Ronaldo,450,Footballer, Portugal
3,@kyliejenner,Kylie Jenner,344,"Television personality, model and businesswoman", United States
4,@leomessi,Lionel Messi,333,Footballer, Argentina
5,@selenagomez,Selena Gomez,324,"Musician, actress, producer and businesswoman", United States
6,@therock,Dwayne Johnson,320,Actor and professional wrestler, United States
7,@kimkardashian,Kim Kardashian,316,"Television personality, model and businesswoman", United States
8,@arianagrande,Ariana Grande,314,Musician and actress, United States
9,@beyonce,Beyoncé,261,"Musician, actress and businesswoman", United States
10,@khloekardashian,Khloé Kardashian,249,Television personality and model, United States
11,@kendalljenner,Kendall Jenner,240,Model and television personality, United States
12,@justinbieber,Justin Bieber,239,Musician, Canada
13,@natgeo,National Geographic,225,Magazine, United States
14,@nike,Nike,221,Sportswear multinational, United States
15,@taylorswift,Taylor Swift,213,Musician, United States
16,@jlo,Jennifer Lopez,211,Musician and actress, United States
17,@virat.kohli,Virat Kohli,199,Cricketer, India
18,@nickiminaj,Nicki Minaj,192,Musician, Trinidad and Tobago
19,@kourtneykardash,Kourtney Kardashian,182,Television personality and model, United States
20,@neymarjr,Neymar,175,Footballer, Brazil
21,@mileycyrus,Miley Cyrus,173,Musician and actress, United States
22,@katyperry,Katy Perry,163,Musician, United States
23,@kevinhart4real,Kevin Hart,143,Comedian and actor, United States
24,@zendaya,Zendaya,143,Actress, United States
25,@ddlovato,Demi Lovato,133,Musician and actor, United States
26,@iamcardib,Cardi B,133,Musician and actor, United States
27,@badgalriri,Rihanna,130,Musician and businesswoman, Barbados
28,@kingjames,LeBron James,123,Basketball player, United States
29,@theellenshow,Ellen DeGeneres,121,Comedian and television personality, United States
30,@realmadrid,Real Madrid CF,119,Football club, Spain
31,@champagnepapi,Drake,112,Musician, Canada
32,@chrisbrownofficial,Chris Brown,111,Musician, United States
33,@fcbarcelona,FC Barcelona,109,Football club, Spain
34,@billieeilish,Billie Eilish,103,Musician, United States
35,@championsleague,UEFA Champions League,94.5,Club football competition, Europe
36,@dualipa,Dua Lipa,84,Musician, United Kingdom
37,@gal_gadot,Gal Gadot,81.7,Actress, Israel
38,@vindiesel,Vin Diesel,80.7,Actor, United States
39,@priyankachopra,Priyanka Chopra,79,Actress and musician, India
40,@lalalalisa_m,Lisa,78.3,Musician and model, Thailand
41,@khaby00,Khaby Lame,78,Social media personality, Italy
42,@nasa,NASA,77.8,Space agency, United States
43,@gigihadid,Gigi Hadid,74.6,Model, United States
44,@shakira,Shakira,74.1,Musician, Colombia
45,@snoopdogg,Snoop Dogg,73.9,Musician, United States
46,@davidbeckham,David Beckham,73.8,Social media personality, United Kingdom
47,@victoriassecret,Victoria's Secret,72.8,Lingerie Company, United States
48,@shraddhakapoor,Shraddha Kapoor,72.8,Actress, India
49,@k.mbappe,Kylian Mbappé,71.4,Footballer, France
50,@nehakakkar,Neha Kakkar,70.1,Musician, India
